,Marque,Modèle,boite,horsepower,fuel,nbre_portes,cylindrée,Prix,year,kilometrage
0,alfa-romeo,giulia 2.0-turbo-bva-super,Automatique,11CV,Essence,4,1995CM³,198 000DTTTC,0,0
1,alfa-romeo,stelvio 2.0-turbo-q4-bva,Automatique,17CV,Essence,5,1995CM³,265 000DTTTC,0,0
2,audi,a3-sportback 35-tfsi-advanced-line,Automatique,8CV,Essence,5,1395CM³,145 000DTTTC,0,0
3,audi,a3-berline 35-tfsi-business-extended,Automatique,8CV,Essence,4,1395CM³,149 000DTTTC,0,0
4,audi,a4 35-tfsi-s-tronic-business-line-plus,Automatique,8CV,Essence,4,1984CM³,198 000DTTTC,0,0
5,audi,a6 40-tfsi-s-tronic-s-line-2023,Automatique,11CV,Essence | Hybride léger,4,1984CM³,295 000DTTTC,0,0
6,audi,q2 35-tfsi-s-tronic-s-line-2023,Automatique,8CV,Essence,5,1498CM³,159 000DTTTC,0,0
7,audi,q3 35-tfsi-s-tronic-advanced-line,Automatique,9CV,Essence,5,1498CM³,205 000DTTTC,0,0
8,audi,q3-sportback 35-tfsi-s-tronic-business-limited,Automatique,9CV,Essence,5,1498CM³,235 000DTTTC,0,0
9,audi,q7 2.0-l-tfsi-quattro-bva-s-line-7-places-2021,Automatique,16CV,Essence,5,1984CM³,445 000DTTTC,0,0
10,audi,q8-e-tron 55-e-quattro-advanced-line,Automatique,12CV,Electrique,5,,299 000DTTTC,0,0
11,audi,q8-sportback-e-tron 55-e-quattro-s-line,Automatique,12CV,Electrique,5,,349 000DTTTC,0,0
12,audi,e-tron-gt quattro,Automatique,37CV,Electrique,4,,360 000DTTTC,0,0
13,bako,bee start#specs,Automatique,1CV,Electrique,2,,16 210DTTTC,0,0
14,bako,bee wave#specs,Automatique,1CV,Electrique,2,,18 264DTTTC,0,0
15,bako,bee horizons#specs,Automatique,1CV,Electrique,2,,21 508DTTTC,0,0
16,bako,evan start#specs,Automatique,N.C,Electrique,3,,22 586DTTTC,0,0
17,bako,evan wave#specs,Automatique,N.C,Electrique,3,,27 990DTTTC,0,0
18,bako,evan horizons#specs,Automatique,N.C,Electrique,3,,32 313DTTTC,0,0
19,bestune,bestune-t77 1.5-l-160-ch#specs,Automatique,9CV,Essence,5,1498CM³,113 777DTTTC,0,0
20,bestune,bestune-t77 1.5-l-bva-premium#specs,Automatique,9CV,Essence,5,1498CM³,118 777DTTTC,0,0
21,bmw,serie-1-5p 116i-lounge#specs,Automatique,6CV,Essence,5,1499CM³,150 900DTTTC,0,0
