Marque,Modèle,year,kilometrage,boite,horsepower,fuel,nbre_portes,cylindrée,Prix
Mercedes-Benz,Classe E,2024,0,Automatique,10,Essence,4,1.4,430000
Peugeot,2008,2014,162000,Manuelle,5,Essence,4,2.398,36000
Mazda,6,2013,256000,Automatique,9,Essence,5,0.999,33000
Ford,Ecosport Titanium,2022,60000,Manuelle,7,Essence,5,1.497,68000
Toyota,C-HR Sport,2020,162000,Automatique,6,Essence,4,1.999,73000
Mercedes-Benz,Classe C coupé AMG,2012,168000,Automatique,9,Essence,4,1.2,77000
KIA,Picanto GT-Line,2018,109000,Automatique,5,Essence,4,1.499,39900
Audi,A3 Sportback S-Line,2023,14000,Automatique,6,Essence,5,1.6,127000
Audi,A3 Sportback Sportback,2018,210000,Manuelle,6,Essence,5,1.4,69000
Mercedes-Benz,Classe C,2013,235000,Manuelle,9,Essence,4,5.0,55500
Audi,Q5 2.0L,2009,255000,Automatique,13,Essence,4,3.0,47000
Volkswagen,Golf 8,2023,40000,Automatique,8,Essence,5,6.5,139000
Mercedes-Benz,Classe C AMG,2014,164000,Automatique,9,Essence,5,1.199,89000
Mercedes-Benz,Classe E 1.6L,2017,132000,Automatique,9,Essence,4,1.5,138000
Jeep,Wrangler 4.0L,1989,200000,Manuelle,8,Essence,4,1.6,72000
Seat,Leon Xcellence,2023,37000,Automatique,7,Essence,5,1.0,108000
Peugeot,3008 1.2L,2020,70000,Automatique,6,Essence,5,1.598,89000
Skoda,Fabia 1.6L,2018,137000,Manuelle,5,Essence,4,1.498,43000
Ford,Fusion 1.6,2017,90000,Manuelle,9,Essence,0,,55500
Nissan,Juke,2015,160000,Automatique,7,Essence,4,3.0,39500
BMW,Série 5 520,2014,182000,Automatique,9,Essence,5,3.6,75000
Volkswagen,Golf 8 1.5L,2021,80000,Manuelle,7,Essence,4,0.999,93000
BMW,X1 1.6L,2016,126000,Automatique,7,Essence,4,2.0,85000
BMW,X2 S drive,2020,74000,Automatique,8,Essence,0,,132000
Citroën,Berlingo Utilitaire 1.6L,2023,31000,Manuelle,5,Diesel,5,2.0,58500
BMW,Série 1 M,2022,40000,Automatique,7,Essence,5,1.0,138500
Audi,A3 Sportback 1.2L,2019,125000,Manuelle,6,Essence,4,1.2,78500
Ford,Focus,2016,149000,Manuelle,5,Essence,5,1.998,36500
Mercedes-Benz,GLC Plug-in Hybride AMG,2021,46000,Automatique,10,Hybride,5,1.6,285000
